"","lga_id","X_id_facility_list","total_facility_list","matched_facility_list","rejected_facility_list","finished_facility_list","left_facility_list","full_facility_list","edu_total_facility_list","edu_matched_facility_list","edu_rejected_facility_list","edu_finished_facility_list","edu_left_facility_list","health_total_facility_list","health_matched_facility_list","health_rejected_facility_list","health_finished_facility_list","health_left_facility_list","state_facility_list","lga_facility_list","zone_facility_list","X_id_baseline","total_baseline","matched_baseline","rejected_baseline","finished_baseline","left_baseline","full_baseline","edu_total_baseline","edu_matched_baseline","edu_rejected_baseline","edu_finished_baseline","edu_left_baseline","health_total_baseline","health_matched_baseline","health_rejected_baseline","health_finished_baseline","health_left_baseline","state_baseline","lga_baseline","zone_baseline"
"379",384,"51b0b213b0593c9c276ed2f8",84,57,0,57,27,TRUE,45,33,0,33,12,39,24,0,24,15,"bauchi","jama_are","northeast","51b0b206b0593c9c276ec7a7",94,57,26,83,11,TRUE,65,33,21,54,11,29,24,5,29,0,"bauchi","jama_are","northeast"
"380",385,"51b0b213b0593c9c276ed2ae",85,26,0,26,59,TRUE,52,15,0,15,37,33,11,0,11,22,"kebbi","jega","northwest","51b0b206b0593c9c276ec864",107,26,81,107,0,TRUE,76,15,61,76,0,31,11,20,31,0,"kebbi","jega","northwest"
"381",386,"51b0b213b0593c9c276ed286",222,162,0,162,60,TRUE,192,141,0,141,51,30,21,0,21,9,"kaduna","jema_a","northwest","51b0b206b0593c9c276ec972",221,160,61,221,0,TRUE,191,139,52,191,0,30,21,9,30,0,"kaduna","jema_a","northwest"
"382",387,"51b0b213b0593c9c276ed32b",134,39,0,39,95,TRUE,114,31,0,31,83,20,8,0,8,12,"borno","jere","northeast","51b0b206b0593c9c276ec993",60,39,21,60,0,TRUE,43,31,12,43,0,17,8,9,17,0,"borno","jere","northeast"
"383",388,"51b0b213b0593c9c276ed2f2",140,116,0,116,24,TRUE,91,78,0,78,13,49,38,0,38,11,"katsina","jibia","northwest","51b0b206b0593c9c276ec97a",135,116,19,135,0,TRUE,92,78,14,92,0,43,38,5,43,0,"katsina","jibia","northwest"
"384",389,"51b0b213b0593c9c276ed0dc",178,101,0,101,77,TRUE,125,66,0,66,59,53,35,0,35,18,"plateau","jos_east","north_central","51b0b206b0593c9c276ec94f",115,100,15,115,0,TRUE,71,65,6,71,0,44,35,9,44,0,"plateau","jos_east","north_central"
"385",390,"51b0b213b0593c9c276ed17e",282,74,0,74,208,TRUE,214,49,0,49,165,68,25,0,25,43,"plateau","jos_north","north_central","51b0b206b0593c9c276ec7a8",151,74,54,128,23,TRUE,105,49,33,82,23,46,25,21,46,0,"plateau","jos_north","north_central"
"386",391,"51b0b213b0593c9c276ed11b",362,152,0,152,210,TRUE,310,125,0,125,185,52,27,0,27,25,"plateau","jos_south","north_central","51b0b206b0593c9c276ec93b",193,152,41,193,0,TRUE,150,125,25,150,0,43,27,16,43,0,"plateau","jos_south","north_central"
"387",392,"51b0b213b0593c9c276ed35c",160,110,0,110,50,TRUE,128,90,0,90,38,32,20,0,20,12,"kogi","kabba_bunu","north_central","51b0b206b0593c9c276ec969",138,110,28,138,0,TRUE,105,90,15,105,0,33,20,13,33,0,"kogi","kabba_bunu","north_central"
"388",393,"51b0b213b0593c9c276ed18d",74,58,0,58,16,TRUE,44,40,0,40,4,30,18,0,18,12,"kano","kabo","northwest","51b0b206b0593c9c276ec856",155,58,97,155,0,TRUE,132,40,92,132,0,23,18,5,23,0,"kano","kabo","northwest"
"389",394,"51b0b213b0593c9c276ed28d",386,257,0,257,129,TRUE,306,220,0,220,86,80,37,0,37,43,"kaduna","kachia","northwest","51b0b206b0593c9c276ec90e",347,258,89,347,0,TRUE,293,221,72,293,0,54,37,17,54,0,"kaduna","KACHIA","northwest"
"390",395,"51b0b213b0593c9c276ed36f",198,24,0,24,174,TRUE,125,8,0,8,117,73,16,0,16,57,"kaduna","kaduna_north","northwest","51b0b206b0593c9c276ec7a9",98,24,0,24,74,TRUE,71,8,0,8,63,27,16,0,16,11,"kaduna","kaduna_north","northwest"
